Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,216879,1912,1,42991,1737.52,26.75,1821.5/sec,1487.42,367.43,836.2
TOTAL,216860,1913,1,42991,1738.09,26.75,1821.5/sec,1487.49,367.43,836.6
